# Target Sample Rate: 500 Hz
# Max Device Sample Rate: 500 Hz
# Recording started at: 2026-02-10 20:46:22.857
time,ωₓ (rad/s),ωᵧ (rad/s),ωᶻ (rad/s),ω_total (rad/s)
1.458857,0.386,-0.891,1.047,1.428
1.465310,0.238,-1.029,1.133,1.549
1.468833,-0.363,-1.520,1.502,2.167
1.476229,-0.504,-1.636,1.590,2.336
1.478723,-1.024,-2.048,1.926,2.992
1.480615,-1.150,-2.111,2.015,3.137
1.487871,-1.281,-2.164,2.105,3.280
1.490674,-1.707,-2.260,2.404,3.715
1.498891,-1.755,-2.242,2.466,3.767
1.502501,-1.439,-1.784,2.659,3.510
1.509973,-1.276,-1.628,2.660,3.370
1.512750,-0.513,-0.794,2.467,2.642
1.514696,-0.335,-0.549,2.366,2.452
1.529137,-0.174,-0.303,2.245,2.272
1.532381,0.417,0.797,0.929,1.293
1.534317,0.451,0.792,0.800,1.213
1.536441,0.483,0.754,0.687,1.128
1.543540,0.513,0.703,0.591,1.052
1.546054,0.642,0.355,0.345,0.811
1.548105,0.677,0.240,0.306,0.780
1.550154,0.712,0.121,0.277,0.773
1.552176,0.742,-0.001,0.251,0.783
1.554136,0.771,-0.120,0.233,0.815
1.556127,0.798,-0.234,0.224,0.861
1.558094,0.820,-0.334,0.221,0.913
1.565292,0.838,-0.426,0.223,0.966
1.568096,0.877,-0.608,0.255,1.097
1.570084,0.882,-0.601,0.267,1.101
1.572029,0.889,-0.572,0.281,1.093
1.574099,0.900,-0.533,0.296,1.087
1.576000,0.913,-0.486,0.310,1.080
1.578103,0.931,-0.435,0.325,1.078
1.580036,0.950,-0.382,0.343,1.080
1.588715,0.973,-0.327,0.364,1.089
1.591990,1.112,-0.035,0.531,1.233
1.593948,1.134,0.010,0.577,1.272
1.596047,1.155,0.047,0.625,1.314
1.598189,1.173,0.081,0.673,1.355
1.600085,1.188,0.104,0.723,1.395
1.601912,1.199,0.121,0.776,1.433
1.609966,1.210,0.140,0.827,1.472
1.613796,1.256,0.244,1.066,1.666
1.615871,1.268,0.285,1.105,1.706
1.617901,1.280,0.332,1.138,1.744
1.619899,1.290,0.384,1.163,1.779
1.621759,1.302,0.445,1.184,1.815
1.623821,1.311,0.505,1.197,1.846
1.625755,1.319,0.572,1.206,1.876
1.632729,1.325,0.639,1.207,1.903
1.635866,1.326,0.935,1.137,1.981
1.637794,1.320,1.007,1.100,1.992
1.639760,1.308,1.076,1.059,1.998
1.642119,1.301,1.144,1.013,2.007
1.643764,1.289,1.212,0.966,2.016
1.645664,1.282,1.277,0.915,2.027
1.647723,1.273,1.331,0.859,2.032
1.655901,1.264,1.373,0.801,2.030
1.659729,1.213,1.437,0.510,1.948
1.664763,1.201,1.416,0.453,1.911
1.672033,1.174,1.351,0.344,1.823
1.679713,1.110,1.153,0.177,1.610
1.683731,1.012,0.874,0.067,1.339
1.685856,0.994,0.826,0.060,1.294
1.687505,0.976,0.780,0.058,1.251
1.689471,0.957,0.741,0.056,1.211
1.691445,0.941,0.706,0.068,1.178
1.699676,0.928,0.676,0.079,1.151
1.702440,0.876,0.573,0.149,1.057
1.705323,0.854,0.549,0.192,1.034
1.707420,0.842,0.547,0.213,1.026
1.709349,0.833,0.543,0.233,1.021
1.711325,0.825,0.541,0.255,1.018
1.713390,0.816,0.543,0.276,1.018
1.723682,0.808,0.541,0.295,1.016
1.727426,0.786,0.510,0.372,1.008
1.729412,0.787,0.498,0.380,1.006
1.731331,0.791,0.484,0.388,1.005
1.733276,0.795,0.465,0.393,1.001
1.735325,0.799,0.445,0.392,0.995
1.741742,0.804,0.415,0.392,0.986
1.745289,0.834,0.248,0.364,0.943
1.747251,0.842,0.201,0.357,0.936
1.749186,0.848,0.152,0.345,0.928
1.751122,0.856,0.101,0.333,0.924
1.753219,0.861,0.047,0.320,0.919
1.755311,0.868,-0.002,0.305,0.920
1.757122,0.874,-0.050,0.290,0.922
1.759134,0.878,-0.095,0.272,0.924
1.765553,0.883,-0.135,0.250,0.928
1.769031,0.788,-0.018,0.191,0.811
1.771102,0.734,0.074,0.181,0.760
1.773270,0.687,0.140,0.164,0.720
1.775134,0.647,0.190,0.144,0.689
1.777258,0.608,0.235,0.123,0.664
1.779069,0.575,0.266,0.099,0.641
1.781006,0.555,0.265,0.066,0.619
1.788926,0.549,0.235,0.019,0.597
1.791057,0.579,0.031,-0.236,0.626
1.793066,0.591,-0.008,-0.299,0.663
1.795095,0.605,-0.044,-0.359,0.705
1.797126,0.620,-0.070,-0.411,0.747
1.798996,0.636,-0.086,-0.462,0.791
1.800929,0.654,-0.100,-0.509,0.835
1.802988,0.670,-0.109,-0.551,0.874
1.810801,0.687,-0.113,-0.587,0.911
1.812928,0.789,-0.067,-0.708,1.063
1.814804,0.825,-0.028,-0.728,1.100
1.816934,0.867,0.024,-0.744,1.143
1.818986,0.912,0.088,-0.751,1.185
1.820840,0.962,0.166,-0.755,1.234
1.822887,1.016,0.249,-0.756,1.291
1.824907,1.073,0.340,-0.753,1.354
1.834743,1.128,0.433,-0.745,1.419
1.837021,1.384,0.886,-0.641,1.764
1.838775,1.427,0.960,-0.614,1.826
1.840729,1.461,1.020,-0.583,1.874
1.842826,1.490,1.071,-0.553,1.917
1.844812,1.512,1.107,-0.525,1.946
1.846733,1.529,1.134,-0.503,1.969
1.848798,1.539,1.146,-0.483,1.979
1.855948,1.543,1.147,-0.468,1.978
1.858696,1.497,1.092,-0.434,1.903
1.860614,1.471,1.071,-0.429,1.870
1.863501,1.444,1.051,-0.425,1.835
1.865418,1.412,1.031,-0.422,1.798
1.866734,1.375,1.010,-0.420,1.757
1.868660,1.337,0.995,-0.414,1.718
1.870558,1.298,0.984,-0.412,1.680
1.878128,1.255,0.977,-0.408,1.642
1.880506,1.081,1.007,-0.397,1.530
1.882568,1.035,1.033,-0.395,1.514
1.884583,0.990,1.063,-0.394,1.505
1.886583,0.945,1.099,-0.393,1.502
1.888849,0.898,1.140,-0.391,1.503
1.890381,0.854,1.187,-0.387,1.513
1.892414,0.810,1.235,-0.383,1.526
1.898829,0.764,1.286,-0.378,1.543
1.902396,0.583,1.510,-0.360,1.658
1.904342,0.538,1.572,-0.352,1.698
1.906428,0.491,1.636,-0.346,1.743
1.908420,0.446,1.697,-0.340,1.788
1.910435,0.400,1.759,-0.337,1.835
1.912542,0.351,1.819,-0.332,1.882
1.914244,0.302,1.875,-0.327,1.927
1.921421,0.254,1.928,-0.323,1.971
1.924288,0.074,2.098,-0.288,2.119
1.926238,0.035,2.135,-0.275,2.153
1.928383,-0.002,2.163,-0.260,2.179
